Main Head,Main Relation,Main Tail,Sub Head,Sub Relation,Sub Tail,Relation to Main,Paragraph ID
Joy,is,a universal response to achievement.,Joy,is,a universal response to achievement.,Joy is a universal response to achievement.,359
Joy,is,a universal response to encouraging situations.,Joy,is,a universal response to encouraging situations.,Joy is a universal response to encouraging situations.,360
Grief,is,a normal emotional response to a loss.,Grief,is,a normal emotional response to a loss.,Grief is a normal emotional response to a loss.,361
Bereavement,is,the emotional response to the death of a loved one.,Bereavement,is,the emotional response to the death of a loved one.,Bereavement is the emotional response to the death of a loved one.,362
Prolonged grief disorder,is characterized by,persistent and disabling response to loss.,Prolonged grief disorder,is characterized by,persistent and disabling response to loss.,Prolonged grief disorder is characterized by persistent and disabling response to loss.,363
Symptoms of prolonged grief disorder,overlap with,posttraumatic stress disorder (PTSD) and major depressive disorder.,Symptoms of prolonged grief disorder,overlap with,posttraumatic stress disorder (PTSD) and major depressive disorder.,Symptoms of prolonged grief disorder overlap with posttraumatic stress disorder (PTSD) and major depressive disorder.,364
Prolonged grief disorder,is diagnosed when,symptoms last for more than 12 months.,Prolonged grief disorder,is diagnosed when,symptoms last for more than 12 months.,Prolonged grief disorder is diagnosed when symptoms last for more than 12 months.,365
A mood disorder,is diagnosed based on,overly intense and persistent sadness or elation.,A mood disorder,is diagnosed based on,overly intense and persistent sadness or elation.,A mood disorder is diagnosed based on overly intense and persistent sadness or elation.,366
Other mood disorder symptoms,must accompany,the intense sadness or elation to meet diagnostic criteria.,Other mood disorder symptoms,must accompany,the intense sadness or elation to meet diagnostic criteria.,Other mood disorder symptoms must accompany the intense sadness or elation to meet diagnostic criteria.,367
The mood disorder,significantly impairs,the person's capacity to function.,The mood disorder,significantly impairs,the person's capacity to function.,The mood disorder significantly impairs the person's capacity to function.,368
Intense sadness in the context of a mood disorder,is termed,depression.,Intense sadness in the context of a mood disorder,is termed,depression.,Intense sadness in the context of a mood disorder is termed depression.,369
Intense elation in the context of a mood disorder,is termed,mania.,Intense elation in the context of a mood disorder,is termed,mania.,Intense elation in the context of a mood disorder is termed mania.,370
Depressive disorders,are characterized,solely by depression.,Depressive disorders,are characterized,solely by depression.,Depressive disorders are characterized solely by depression.,371
Bipolar disorders,are characterized by,varying combinations of depression and mania.,Bipolar disorders,are characterized by,varying combinations of depression and mania.,Bipolar disorders are characterized by varying combinations of depression and mania.,372
Suicide,is a significant risk in,people with major depressive disorder.,Suicide,is a significant risk in,people with major depressive disorder.,Suicide is a significant risk in people with major depressive disorder.,373
Lifetime risk of suicide,for,people with a depressive disorder is 3 to 6%.,Lifetime risk of suicide,for,people with a depressive disorder is 3 to 6%.,Lifetime risk of suicide for people with a depressive disorder is 3 to 6%.,374
Risk of suicide,increases,at the start of treatment when psychomotor activity normalizes but mood remains dark.,Risk of suicide,increases,at the start of treatment when psychomotor activity normalizes but mood remains dark.,Risk of suicide increases at the start of treatment when psychomotor activity normalizes but mood remains dark.,375
Risk of suicide,is,higher during mixed bipolar states.,Risk of suicide,is,higher during mixed bipolar states.,Risk of suicide is higher during mixed bipolar states.,376
Personally significant anniversaries,elevate,the risk of suicide.,Personally significant anniversaries,elevate,the risk of suicide.,Personally significant anniversaries elevate the risk of suicide.,377
Severe anxiety or psychomotor agitation,can increase,the risk of suicide.,Severe anxiety or psychomotor agitation,can increase,the risk of suicide.,Severe anxiety or psychomotor agitation can increase the risk of suicide.,378
Alcohol and substance use,heighten,the risk of suicide.,Alcohol and substance use,heighten,the risk of suicide.,Alcohol and substance use heighten the risk of suicide.,379
The weeks to months following a suicide attempt,are associated with,"an increased risk of suicide, especially one using a violent method.",The weeks to months following a suicide attempt,are associated with,"an increased risk of suicide, especially one using a violent method.","The weeks to months following a suicide attempt are associated with an increased risk of suicide, especially one using a violent method.",380
Mood disorders,can lead to,disabilities that vary from mild to complete inability to function.,Mood disorders,can lead to,disabilities that vary from mild to complete inability to function.,Mood disorders can lead to disabilities that vary from mild to complete inability to function.,381
Individuals with mood disorders,may struggle to maintain,social interactions.,Individuals with mood disorders,may struggle to maintain,social interactions.,Individuals with mood disorders may struggle to maintain social interactions.,382
People suffering from mood disorders,might find it challenging,to participate in routine activities.,People suffering from mood disorders,might find it challenging,to participate in routine activities.,People suffering from mood disorders might find it challenging to participate in routine activities.,383
Mood disorders,can result in,impaired food intake.,Mood disorders,can result in,impaired food intake.,Mood disorders can result in impaired food intake.,384
Severe anxiety,is a complication associated with,mood disorders.,Severe anxiety,is a complication associated with,mood disorders.,Severe anxiety is a complication associated with mood disorders.,385
Alcohol use disorder,can be a consequence of,mood disorders.,Alcohol use disorder,can be a consequence of,mood disorders.,Alcohol use disorder can be a consequence of mood disorders.,386
Mood disorders,may lead to,other substance use disorders.,Mood disorders,may lead to,other substance use disorders.,Mood disorders may lead to other substance use disorders.,387
Depressive disorders,involve,severe or persistent sadness or irritability.,Depressive disorders,involve,severe or persistent sadness or irritability.,Depressive disorders involve severe or persistent sadness or irritability.,388
These disorders,disrupt,functioning or cause significant distress.,These disorders,disrupt,functioning or cause significant distress.,These disorders disrupt functioning or cause significant distress.,389
Diagnosis of depressive disorders,is based on,clinical criteria.,Diagnosis of depressive disorders,is based on,clinical criteria.,Diagnosis of depressive disorders is based on clinical criteria.,390
